rebalance_date,rebalance_idx,top_n_used,overlap_count,overlap_accuracy,avg_rank_of_selected,mean_future_return,selected_funds,actual_top_funds
2016-11-11,1,15,7,0.4666666666666667,4.0,0.209753960722818,"138952,101539,112496,100477,102328,102329,101065,133146,140225,141952,142109,148732,149153,150209,150583","112496,138952,100477,102328,102329,101539,101065"
2017-05-17,2,15,7,0.4666666666666667,4.0,0.08786936418105427,"140225,112496,100477,138952,101539,102328,102329,101065,133146,141952,142109,148732,149153,150209,150583","112496,140225,138952,101065,102328,101539,100477"
2017-11-17,3,15,6,0.4,3.5,-0.001433663511728726,"140225,112496,138952,102329,102328,100477,101539,101065,133146,141952,142109,148732,149153,150209,150583","101065,140225,100477,101539,112496,102328"
2018-05-22,4,15,8,0.5333333333333333,4.5,-0.08631517447579475,"138952,101065,140225,102329,112496,100477,142109,141952,101539,102328,133146,148732,149153,150209,150583","101065,102328,142109,100477,112496,101539,140225,141952"
2018-11-27,5,15,8,0.5333333333333333,4.5,0.0523889999691866,"138952,101065,100477,102328,142109,140225,112496,101539,141952,102329,133146,148732,149153,150209,150583","102328,140225,101539,141952,142109,100477,112496,101065"
2019-05-30,6,15,8,0.5333333333333333,4.5,-0.002153183505104142,"102328,101065,100477,142109,140225,101539,112496,141952,102329,133146,138952,148732,149153,150209,150583","142109,141952,102328,100477,101065,140225,112496,101539"
2019-12-05,7,15,8,0.5333333333333333,4.5,-0.09169228636129631,"102328,141952,142109,140225,100477,101539,101065,112496,102329,133146,138952,148732,149153,150209,150583","101065,100477,141952,142109,102328,140225,112496,101539"
2020-06-10,8,15,8,0.5333333333333333,4.5,0.3415588212138618,"101065,141952,100477,142109,102328,140225,112496,101539,102329,133146,138952,148732,149153,150209,150583","140225,101065,141952,112496,102328,101539,100477,142109"
2020-12-08,9,15,8,0.5333333333333333,4.5,0.30798531107160965,"101065,141952,140225,100477,102328,112496,142109,101539,102329,133146,138952,148732,149153,150209,150583","101065,142109,140225,141952,100477,102328,101539,112496"
2021-06-14,10,15,9,0.6,5.0,0.11423185947451765,"148732,101065,141952,140225,112496,142109,101539,102328,100477,102329,133146,138952,149153,150209,150583","141952,101065,140225,102328,101539,142109,112496,100477,148732"
2021-12-16,11,15,10,0.6666666666666666,5.5,-0.15715043719261393,"142109,141952,101065,140225,102328,100477,112496,101539,148732,149153,102329,133146,138952,150209,150583","101065,112496,101539,102328,140225,100477,142109,148732,141952,149153"
2022-06-20,12,15,9,0.6,5.0,0.21074889497266325,"101065,141952,140225,142109,102328,101539,100477,112496,148732,149153,150209,102329,133146,138952,150583","101065,100477,101539,140225,141952,148732,142109,102328,150209"
2022-12-22,13,15,11,0.7333333333333333,6.0,0.10116266173748702,"101065,100477,150209,101539,140225,142109,141952,102328,149153,112496,148732,150583,150816,102329,133146","142109,150583,100477,102328,140225,150816,148732,101539,150209,141952,101065"
2023-06-27,14,15,11,0.7333333333333333,6.0,0.2645254262937607,"112496,149153,100477,140225,101539,142109,141952,148732,102328,150209,101065,150816,150583,102329,133146","101065,142109,148732,101539,102328,150583,100477,140225,150209,141952,150816"
2024-01-02,15,15,12,0.8,6.5,0.28002806329993035,"152001,150583,142109,101539,102328,150816,148732,140225,141952,150209,101065,100477,102329,112496,133146","148732,101065,140225,152001,150816,142109,150209,102328,141952,101539,150583,100477"
2024-07-08,16,15,12,0.8,6.5,-0.031183215937169866,"101539,101065,140225,148732,150583,152001,142109,150209,150816,102328,141952,100477,102329,112496,133146","150583,101539,140225,152001,150209,142109,150816,102328,148732,141952,100477,101065"
2025-01-09,17,15,12,0.8,6.5,0.03246532860097831,"140225,152001,150583,101539,150816,150209,148732,142109,101065,102328,141952,100477,102329,112496,133146","100477,150816,102328,141952,140225,150583,142109,101539,148732,150209,101065,152001"
